best 10 collocation in English 2 grams:

2000:

2000 0.959981707512363	Lutra lutra
2000 0.9599796572406225	Noa Noa
2000 0.9599762292212994	numery mozna
2000 0.9599728676719098	Pulicaria dysenterica
2000 0.9599643120675606	Alternanthera philoxeroides
2000 0.9599522322126862	conotoxin GVIA
2000 0.959950027627614	Corophium volutator
2000 0.9599444563353654	Ostatni etap
2000 0.9599424098364805	Phileas Fogg
2000 0.9599394584907758	Gluconobacter oxydans

1990:

1990 0.9599930273572472	Statisticki Godisnjak
1990 0.9599830596728478	ervat davar
1990 0.9599830596728478	Offisielle Statistikk
1990 0.959972618364294	GAETANO DONIZETTI
1990 0.959972618364294	karisye vacanam
1990 0.959972618364294	Toxotes jaculator
1990 0.959972618364294	Loonies Loonie
1990 0.959972618364294	Katolicka crkva
1990 0.959972618364294	Bukar Shaib
1990 0.9599596130377114	Mateja Matejic

1980:

1980 0.9599974565444561	Sotoba Komachi
1980 0.9599967932397374	Unfortu nately
1980 0.9599906450572993	Relativized Minimality
1980 0.9599892421144606	Molefi Kete
1980 0.9599800360101639	Birley JLT
1980 0.9599799436110157	Hishikawa Moronobu
1980 0.9599743123412159	Imperialis Petropolitanae
1980 0.9599727525348513	Colpidium colpoda
1980 0.9599687720231476	Glyptotendipes barbipes
1980 0.9599687720231476	sacramentaire gelasien

1970:

1970 0.9599949698125508	Catholicon Anglicum
1970 0.9599830427216394	Milinda Panha
1970 0.959978826546277	BARNABY RUDGE
1970 0.9599776371901723	Tracheopathia osteoplastica
1970 0.9599763136433602	Instytutu Historycznego
1970 0.9599585891116141	Anthocyanins Anthocyanins
1970 0.9599534453871372	POLSKIEJ AKADEMII
1970 0.9599534453871372	Statisticheskoye Upravleniye
1970 0.9599529367924198	Lon Nol
1970 0.9599517364227448	MACULA DENSA

1960:

1960 0.9599977594593203	Kankei Monjo
1960 0.9599969237128545	Okurasho Insatsukyoku
1960 0.959985532702367	Siddhi Savetsila
1960 0.959985532702367	Microsphaera alphitoides
1960 0.9599855259755606	KAPP PUTSCH
1960 0.9599849990056633	Hisayuki Miyakawa
1960 0.9599849990056633	Caryophyllaeus laticeps
1960 0.9599815423377391	Shivram Rango
1960 0.9599778679169827	WHEY CRATICT
1960 0.9599778679169827	Tiana Lemnitz

1950:

1950 0.9599565210746486	Cosmas Indicopleustes
1950 0.9599508722424981	Zenro Kaigi
1950 0.9599236259040763	Raggle Taggle
1950 0.9599214558652184	ROSWELL MAGILL
1950 0.9599148070817637	Paises Bajos
1950 0.9599116012555183	Polychrosis botrana
1950 0.9598835373851752	Actuals Actuals
1950 0.9598744800018102	COLLEY GIBBER
1950 0.9598731071077251	Sotsialisticheskaya Federativnaya
1950 0.9598722240124776	Aeneida tempta

1940:

1940 0.9599965978414088	PUERTO RICO
1940 0.9599911727741921	Glomerella cingulata
