2 grams hebrew collocations:

2000:

2000 0.9599864460469258	באהבתה תשגה
2000 0.9599841270136994	סטר יונייטד
2000 0.9599594499582713	חאן יונס
2000 0.959949526337324	משרא קטרין
2000 0.9599495263373239	אתקינו סעודתא
2000 0.9599418293179068	השנתון הסטטיסטי
2000 0.95986614647607	וראית בשביה
2000 0.9598515083145559	רהום והנון
2000 0.9598127885240899	פרטיהם ודקדוקיהם
2000 0.9598065518652291	וצהרים אשיחה

1990:

1990 0.9599572464595272	מרנא ורבנא
1990 0.9598975224359821	יתוש קדמך
1990 0.9598573353162941	לוד ורמלה
1990 0.9598432032993434	ראמות וגביש
1990 0.9598051793541614	יממא וליליא
1990 0.9598051793541614	ושקלינן וטרינן
1990 0.9597964792514562	פרנסואה מיטראן
1990 0.9597898274416367	בשרם וזרמת
1990 0.9597898274416367	נהייתי ונחליתי
1990 0.9597898274416367	איכותית וכמותית

1980:

1980 0.959946490373481	מקוטב לקוטב
1980 0.9599279825424532	= =
1980 0.9598929903407645	חרבותם לאתים
1980 0.9598898323881919	והאכילו והשקהו
1980 0.9598552125337794	מהרסים ומחריבים
1980 0.9598552125337794	עבשו פרודות
1980 0.9598552125337794	חדריו נגילה
1980 0.9598552125337794	שנתחמצה בשאור
1980 0.9598552125337794	לויד רייט
1980 0.9598552125337793	המטיפים במסגדים

1970:

1970 0.9599970250736842	דונה גרציה
1970 0.9599876348013058	אילוף הסוררת
1970 0.9599876348013058	ותכונתו ומוצאיו
1970 0.9599876348013058	הגאה והאמיצה
1970 0.9599876348013057	פגישותיו ושיחותיו
1970 0.9599876348013057	אבטיחים ומלונים
1970 0.9599876348013057	ומגינים הפריחו
1970 0.9599876348013057	יכנו יעשרנו
1970 0.9599518608919652	רעיא מהימנא
1970 0.9599321536945108	כחל ושרק

1960:

1960 0.9599767605341046	בצלמם ובדמותם
1960 0.9599767605341046	חמוקי ירכיך
1960 0.9599659864581084	לסעדו ולתמכו
1960 0.9599622159148657	במקלו ובתרמילו
1960 0.9599202358219076	וכרמינו סמדר
1960 0.9598282826674556	לדיר להתעשר
1960 0.9596852836786249	בלוד וברמלה
1960 0.9596766226536948	נהייתי ונחליתי
1960 0.9596766226536947	באדיס אבבה
1960 0.9596766226536947	ולם יקול

1950:

1950 0.9599779391677142	הסנדלרים והחייטים
1950 0.9599779391677142	עפרה יחוננו
